Causa del Incendio,Cantidad de incendio,Hectareas Afectadas, Bomberos Forestal Utilizados,Año
Conuquismo,123,1513.87,1589,2022
Ganaderia,28,145.88,377,2022
Desconocida,21,140.92,239,2022
Intencional,12,12145.32,348,2022
Quema de basura,7,5.41,65,2022
Cable electrico,4,46.66,72,2022
Limpiesa de Solar,4,3.52,51,2022
Invasores,2,6.85,20,2022
Colmeneros,2,15.72,31,2022
Pescadores,2,69.17,31,2022
Accidental ,2,2907.88,129,2022
Caminantes haitianos,2,5.34,27,2022
Descarga eléctrica,1,2.52, 8 ,2022
Manos Criminales,1,1.57, 20 ,2022
Empalme de tuberia,1,0.50, 15 ,2022
Conuquismo,418,218010.30,374,2023
Desconocida,117,87168.00,98,2023
Manos Criminales,67,13129.61,66,2023
Ganaderia,56,11177.50,51,2023
Intencional,51,12345.00,41,2023
Otros,44,5692.51,41,2023
Quema de basura,28,11814.40,26,2023
Limpiesa de Solar,21,6590.50,18,2023
Cable eléctrico,14,5045.00,14,2023
Colmeneros,11,3048.00,11,2023
Carbonero ,9,8566.00,9,2023
Caminantes,8,632.60,8,2023
Descarga eléctrica,4,240.00,4,2023
Accidental,3,196.00,3,2023
Quema de Solar,3,1147.00,3,2023
Buzos Basurero,3,280.00,1,2023
Pichoneros,2,340.00,2,2023
Quema de acacia,1,12.00,1,2023
Cazadores,1,254.00,1,2023
Invasores,1,215.00,1,2023
Pescadores,1,15.00,1,2023
Cable eléctrico,1,5.00,11,2024
Colmeneros,1,275.00,30,2024
Conuquismo,9,825.00,59,2024
Desconocida,1,4.00,12,2024
Ganaderia,1,65.00,13,2024
Intencional,2,9.00,23,2024
Intencional,1,16.00,12,2024
Caminantes,5,49.61,0,2021
Carbonero ,5,46.85,0,2021
Colmeneros,3,56.28,0,2021
Conuquismo,134,2169.55,0,2021
Descarga eléctrica,8,1742.66,0,2021
Desconocida,35,225.05,0,2021
Ganaderia,26,215.43,0,2021
Huelguistas,1,7.86,0,2021
Intencional,27,243.60,0,2021
Invasores,1,3.77,0,2021
Accidental,2,10.00,0,2021
Quema de basura,3,8.05,0,2021
